ADM0_EN,ADM0_SW,ADM0_PCODE,ADM1_EN,ADM1_PCODE,TOTAL_BOTH,TOTAL_MALE,TOTAL_FEMA,RURAL_BOTH,RURAL_MALE,URBAN_BOTH,URBAN_MALE,URBAN_FEMA,RURAL_FEMA
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,2083588,1014974,1068614,1762394,860516,321194,154458,166736,901878
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Arusha,TZ02,1694310,821282,873028,1135188,553073,559122,268209,290913,582115
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Kilimanjaro,TZ03,1640087,793140,846947,1242712,602597,397375,190543,206832,640115
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Tanga,TZ04,2045205,992347,1052858,1604297,782514,440908,209833,231075,821783
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Morogoro,TZ05,2218492,1093302,1125190,1582434,786087,636058,307215,328843,796347
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Pwani,TZ06,1098668,537826,560842,738297,365060,360371,172766,187605,373237
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dar-es-salaam,TZ07,4364541,2125786,2238755,0,0,4364541,2125786,2238755,0
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Lindi,TZ08,864652,414507,450145,702603,337775,162049,76732,85317,364828
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Mtwara,TZ09,1270854,599648,671206,979350,462639,291504,137009,154495,516711
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Ruvuma,TZ10,1376891,668684,708207,1038071,507827,338820,160857,177963,530244
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Iringa,TZ11,941238,452052,489186,684890,329740,256348,122312,134036,355150
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Mbeya,TZ12,1708548,818858,889690,1021973,491392,686575,327466,359109,530581
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Singida,TZ13,1370637,677995,692642,1199936,596311,170701,81684,89017,603625
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Tabora,TZ14,2291623,1129730,1161893,2004114,991255,287509,138475,149034,1012859
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Rukwa,TZ15,1004539,487311,517228,768002,374572,236537,112739,123798,393430
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Kigoma,TZ16,2127930,1028994,1098936,1762669,852753,365261,176241,189020,909916
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Shinyanga,TZ17,1534808,750841,783967,1280137,627731,254671,123110,131561,652406
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Kagera,TZ18,2458023,1205683,1252340,2231033,1095835,226990,109848,117142,1135198
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Mwanza,TZ19,2772509,1360381,1412128,1848288,914846,924221,445535,478686,933442
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Mara,TZ20,1743830,840020,903810,1440418,697497,303412,142523,160889,742921
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Manyara,TZ21,1425131,717085,708046,1231913,621548,193218,95537,97681,610365
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Njombe,TZ22,702097,329359,372738,536189,252031,165908,77328,88580,284158
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Katavi,TZ23,564604,279682,284922,407532,203196,157072,76486,80586,204336
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Simiyu,TZ24,1584157,759891,824266,1473639,707652,110518,52239,58279,765987
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Geita,TZ25,1739530,861055,878475,1460712,726107,278818,134948,143870,734605
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Songwe,TZ26,998862,478880,519982,787325,378482,211537,100398,111139,408843
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Kaskazini Unguja,TZ51,187455,92114,95341,170778,83974,16677,8140,8537,86804
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Kusini Unguja,TZ52,115588,57880,57708,108496,54498,7092,3382,3710,53998
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Mjini Magharibi,TZ53,593678,283590,310088,92219,44926,501459,238664,262795,47293
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Kaskazini Pemba,TZ54,211732,103222,108510,172409,84489,39323,18733,20590,87920
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Kusini Pemba,TZ55,195116,93871,101245,155901,75671,39215,18200,21015,80230
